question,response_j,response_k
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Social Investment and Economic Development for the Americas Act of 2010 - Amends the Foreign Assistance Act of 1961 to direct the President, through the United States Agency for International Development (USAID) and working with governments and civil society in the Americas (the countries of North America, Central America, South America, and the Caribbean), to provide assistance to reduce poverty, expand the middle class, and foster increased economic opportunity. Directs the Secretary of State to establish an advisory group to consider the feasibility of establishing a public-private Fund for Social and Economic Development in the Americas. Authorizes appropriations for: (1) assistance to Central America, South America, the Caribbean, and Mexico; (2) debt and equity financing for a Microfinance Growth Fund for the Americas; (3) the Fund for Social and Economic Development in the Americas; and (4) USAID for labor and environmental capacity building activities relating to the implementation of trade promotion agreements.[/INST]
Topics:
","1. Economy
2. Social Investment
3. International Development",1. Economic Development
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Authorizes the Secretary of Homeland Security to waive visa waiver program requirements for a country seeking program designation if: (1) the country has a viable plan to meet such requirements within three years; (2) the country has made significant progress in reducing its nonimmigrant visa refusal rate in the previous two years; (3) such waiver would not compromise U.S. security or welfare; and (4) the country has fully cooperated in counterterrorism and information sharing initiatives. Directs the Secretary to report to Congress respecting plans for enhancing secure travel standards for program countries, including the feasibility of an electronic authorization travel system, additional passenger information exchanges, and enhanced airport security standards.[/INST]
Topics:
","1. Security
2. Immigration
3. International Cooperation","1. Travel Security
2. Immigration Policy"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Education. 
Examples of seeds topics are 'School' and 'Teachers'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Education within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
[Interchange on Hoban deleted]   Only those you haven't actually read?  Sorry, but the irony remains.   So although you don't agree with the fatwa, and apparently don't think Rushdie should be killed for his book, yet you think he is not due sympathy for being being under this threat.  Furthermore you base this reaction solely on the fact that he wrote about a particular well-known story which -- if true -- might reflect poorly on the absolute truth of your religion.  Yet, this opinion is formed without recourse to actually looking to see how the story is used in context, accepting at face value the widespread propaganda on just what this book contains and what the author's motivations are.  And then you come forward and recommend another book which touches on (presumably ""plays with"") religious/historical material because you find its overall presentation neutral![/INST]
Topics:
",No specific topics related to Education.,"
1. Religion
2. Propaganda
3. Context"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
American Opportunity Tax Credit Permanence and Consolidation Act of 2012 - Amends the Internal Revenue Code to replace the Hope Scholarship and Lifetime Learning tax credits with a new American Opportunity Tax Credit that: (1) allows an income tax credit of up to $3,000 of the qualified tuition and related expenses of a student who is carrying at least one half of a normal course load, (2) increases the income threshold for reductions in the credit amount based upon modified adjusted gross income, (3) allows a lifetime dollar limitation on such credit of $15,000 for all taxable years, and (4) makes 40% of the credit refundable. Allows an exclusion from gross income of any amount received as a Federal Pell Grant.[/INST]
Topics:
","1. Education
2. Tax
3. Financial Aid",1. Tax Credit
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Windows' and 'IBM'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
  ram.page, n.: To move about wildly or violently.  A course of frenzied, violent action.  Who assaulted who here, Phill?  Do you remember exactly which side came  out looking for trouble?   So if it turns out that the fire WAS caused by a tank knocking over a Coleman lantern, you'll support punishing the ""responsible"" people, Phill? Or will you find then find a different reason to hang it all on Koresh? -- [/INST]
Topics:
",No specific topics related to Computer.,"
1. Violent
2. Action
3. Trouble"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Graphics' and 'Hardware'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
Darwin fish can be bought from: -- ""JOIN THE DARWINNERS (TM) Send $6 to receive your official Evolving Fish..  wherever you want to spread the good news!  Darwinners, 6671 Sunset Blvd., Ste. 1525, L.A.,CA 90028 THE GREATEST THEORY EVER TOLD!""  Jenny[/INST]
Topics:
",No specific topics related to Computer.,"
1. Evolving
2. Fish
3. Spread"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Standards to Provide Educational Achievement for Kids Act or the SPEAK Act - Amends the National Assessment of Educational Progress Authorization Act (the Act) to require the Commissioner for Educational Statistics to add science to the mandatory biennial national and state academic achievement assessments of students in grades four, eight, and twelve in reading and mathematics. Amends the Elementary and Secondary Education Act of 1965 to require states receiving school improvement funds to participate in such science assessments of students in grades four and eight, beginning with the 2010-2011 school year. Amends the Act to task the National Assessment Governing Board with creating or adopting voluntary American education content standards in mathematics and science for kindergarten through grade 12 which reflect the knowledge students need to enter college or the workforce and compete in the global economy. Requires the Secretary of Education to establish the American Standards Incentive fund to award competitive four-year grants to states which agree to: (1) adopt such voluntary mathematics and science standards as the core of their own academic content standards in such subjects; and (2) align their teacher certification and professional development requirements to such standards. Provides additional funds to successful grantees for the enhancement of their student performance data systems. Authorizes the Secretary to extend by two to four years for such grantees the 12-year period at the end of which students must meet or exceed state academic performance standards established under the Elementary and Secondary Education Act of 1965.[/INST]
Topics:
","1. Education
2. Science Assessments
3. Academic Achievement",1. Education Standards
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Nurturing and Supporting Healthy Babies Act or the NAS Healthy Babies Act (Sec. 2) This bill requires the Government Accountability Office (GAO) to report on neonatal abstinence syndrome (NAS), which results from a newborn's exposure to addictive opiate drugs while in the mother's womb. Specifically, the GAO shall report on: the prevalence of NAS, NAS treatment services for which coverage is available under state Medicaid programs, the settings and associated reimbursement methodologies for NAS treatment, the prevalence of utilization of various care settings under state Medicaid programs for NAS treatment, any federal barriers to treating infants with NAS under state Medicaid programs, and best practices for treating infants with NAS. The GAO shall also report on its recommendations for improvements that will ensure access to NAS treatment under state Medicaid programs. (Sec. 3) The bill amends title XIX (Medicaid) of the Social Security Act to exclude abuse-deterrent formulations of prescription drugs from the requirement that manufacturers of single-source or innovator drugs pay additional rebates to state Medicaid programs. (Sec. 4) Under current law, the Centers for Medicare & Medicaid Services (CMS) must use predictive modeling and other analytic technologies to identify improper Medicaid claims. The bill prohibits a state agency from using or disclosing such technologies except for purposes of administering a state Medicaid program or Children's Health Insurance Program. A state agency shall have in effect adequate data security and control policies to ensure that access to such information is restricted to authorized persons for authorized uses. (Sec. 5) The bill places $5 million in the Medicaid Improvement Fund to be available beginning in FY2021.[/INST]
Topics:
","1. Medicare
2. Infant Treatment
3. Medicare","1. Healthcare
2. Medicaid"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Authority for Mandate Delay Act - Amends the Patient Protection and Affordable Care Act to delay until 2015 enforcement of requirements that large employers offer their full-time employees the opportunity to enroll in minimum essential coverage. Delays the effective date of related reporting requirements for such employers and for providers of minimum essential coverage.[/INST]
Topics:
","1. Medicare
2. Employment
3. Insurance",1. Healthcare
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Clean Energy Investment Act of 2008 - Amends the Internal Revenue Code to extend through 2015 the tax credit for producing electricity from renewable resources.[/INST]
Topics:
","1. Energy
2. Investment Act
3. Tax","1. Renewable Energy
2. Tax Credit"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Immigration'. 
Examples of seeds topics are 'Citizenship' and 'Visas'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Immigration within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
: BULLSHIT!!! In the Gulf Massacre, 7% of all ordnance used was ""smart."" The : rest - that's 93% - was just regular, dumb ol' iron bombs and stuff. Have : you forgotten that the Pentagon definition of a successful Patriot launch : was when the missile cleared the launching tube with no damage? Or that a : successful interception of a Scud was defined as ""the Patriot and Scud : passed each other in the same area of the sky""? :  : And of the 7% that was the ""smart"" stuff, 35% hit. Again - try to follow me : here - that means 65% of this ""smart"" arsenal missed.[/INST]
Topics:
",No specific topics related to Immigration'.,"
1. Smart bombs
2. Patriot missile system
3. Scud missiles"
"<s>[INST]Based on the provided text, identify one to three specific topics related to hesitancy towards the COVID-19 vaccine. 
Examples of seeds topics are 'Safety concern' and 'Efficacy'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to vaccine hesitancy within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
: Detroit's going to beat Toronto in 6 or LESS!!! :  :  Granted, Gilmour should get the Hart Trophy, NOT Lemieux... Just : Look at what Gilmour did for Toronto.  When you think of Toronto, : who comes to mind, Gilmour, Andreychuk, Potvin...ah...did I mentio : n Gilmour? :   When you think of the NHL, who comes to mind? Gilmour? Gretzky? Mario? .. ah... did I mention Mario? If you said Gretzky, you haven't really been following along, have you. If you said Gilmour, you are a true Maynard.   I don't even think the selection of the HArt deserves serious discussion on this group. It is a no-brainer.[/INST]
Topics:
",No specific topics related to hesitancy towards the COVID-19 vaccine.,"
1. Safety concern
2. Efficacy
3. Selection process"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Petroleum Coke Transparency and Public Health Study Act - Requires the Secretary of Health and Human Services (HHS) to transmit to Congress, within 180 days after enactment of this Act, the results of a study, using the best available science, of petroleum coke that includes: (1) an analysis of the public health and environmental impacts of the production, transportation, storage, and use of petroleum coke; (2) an assessment of potential approaches and best practices for storing, transporting, and managing petroleum coke; and (3) a quantitative analysis of current and projected domestic petroleum coke production and utilization locations. Requires the Secretary to compile and publish on a publicly available website the results of such study.[/INST]
Topics:
","1. Health
2. Environmental Impact
3. Petroleum Coke",1. Public Health
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
GPCI Justice Act of 2009 - Amends title XVIII (Medicare) of the Social Security Act, with respect to the geographic practice cost index (GPCI) for adjustments to physician fee schedule areas, to direct the Secretary of Health and Human Services to revise the fee schedule areas for California to use the Metropolitan Statistical Area (MSA) iterative Geographic Adjustment Factor methodology, in accordance with specified requirements.[/INST]
Topics:
","1. Medicare
2. Medicare
3. Geographic Adjustment",1. Healthcare
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Windows' and 'IBM'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
 I don't know the first thing about yeast infections but I am a scientist. No scientist would take your statement --- ""no convincing empirical evidence to support the existence of systemic yeast syndrome"" --- to tell you anything except an absence of data on the question.  Noring has pointed out the catch-22 that if the ""crazy"" theory were true, you probably couldn't find any direct evidence of it --- that you couldn't observe those yeastie beasties with present methods even if they were there.  Noring and the fellow from Oklahoma (sorry, forgot your name) have also suggested one set of anecdotal evidence in favor based on their personal experiences --- namely, that when people with certain conditions are given anti-fungals, many of them appear to get better.    So, if you have any evidence *against* the hypothesis --- for example, controlled double-blind studies showing that the anti-fungals don't do any better than sugar water --- then let's hear it.  If you don't, then what we have is anecdotal and uncontrolled evidence on one side, and abject disbelief on the other.  In which case, please, there is no point in yelling back and forth[/INST]
Topics:
",No specific topics related to Computer.,"
1. Yeast
2. Anecdotal evidence
3. Anti-fungals"
"<s>[INST]Based on the provided text, identify one to three specific topics related to hesitancy towards the COVID-19 vaccine. 
Examples of seeds topics are 'Side effects' and 'Ineffectiveness'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to vaccine hesitancy within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
 You need to use your shoulder muscles to push the mower. If you haven't been doing much exercise, as I suppose you haven't, then a constant 20 minute long effort can cause stiffness and cramps.[/INST]
Topics:
",No specific topics related to hesitancy towards the COVID-19 vaccine.,"
1. Stiffness
2. Cramps
3. Exercise"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Windows' and 'IBM'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
     For your information, I checked the Library of Congress catalog, and they list the following books by Francis Hitching:      Earth Magic      The Neck of the Giraffe, or Where Darwin Went Wrong      Pendulum: the Psi Connection      The World Atlas of Mysteries [/INST]
Topics:
",No specific topics related to Computer.,"
1. Earth Magic
2. Pendulum
3. Library of Congress"
"<s>[INST]Based on the provided text, identify one to three specific topics related to hesitancy towards the COVID-19 vaccine. 
Examples of seeds topics are 'Safety concern' and 'Efficacy'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to vaccine hesitancy within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
Hi,  I'm an avid dieter and the new miracle drug seems to involve thermo- genics. The drug is claimed to stimulate the brown fat to burn food  creating eat as opposed to the fat being stored. There are all sorts of warnings about fevers, elevated blood pressure and heart rate, ect..  The silver lining is that apparently some weight loss does not  require a change in diet. Is this possible? Are the pills dangerous or just hoaxes?[/INST]
Topics:
",No specific topics related to hesitancy towards the COVID-19 vaccine.,"
1. Safety concerns
2. Efficacy
3. Diet changes"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Charitable Giving Extension Act - Amends the Internal Revenue Code to allow an individual taxpayer who makes a tax deductible charitable contribution after the close of a taxable year, but not later than the due date of such taxpayer's tax return for that taxable year, to treat such contribution as made in such taxable year.[/INST]
Topics:
","1. Charitable Giving
2. Tax
3. Donations",1. Tax Deductions
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Windows' and 'IBM'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
-| In article <C65oIL.436@vuse.vanderbilt.edu>  -| Okay.  Name one single effect that Kirlian photography gives that -| can't be explained by corona discharge.  Dozens of very funny postings to sci.image.processing  [of which this may not be one :-].[/INST]
Topics:
",No specific topics related to Computer.,"
1. Kirlian
2. Photography
3. Corona"
"<s>[INST]Based on the provided text, identify one to three specific topics related to Computer. 
Examples of seeds topics are 'Graphics' and 'Hardware'. 
Each identified topic should consist of no more than three words. 
If there are no topics related to Computer within the text, simply respond with 'No topics.' 
Please return only the identified topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The provided text:
i heard a news report indicating research showing improved          hearing in people taking vitamin A. the research showed that new     growth replaced damaged ""hairlike"" nerves. has anyone heard about this?   thanks, claude[/INST]
Topics:
",No specific topics related to Computer.,"
* Hearing
* Vitamin A
* Nerves"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Amends the Internal Revenue Code to extend through 2012 the period for placing in service buildings located in a disaster area that are eligible for allocations of low-income housing tax credit amounts.[/INST]
Topics:
","1. Tax
2. Disaster Relief
3. Housing",1. Tax Credits
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Sound Management of America's Resources and Technologies for Energy Act of 2009 or the SMART Energy Act - Amends the Federal Power Act to: (1) provide for investment in and construction of an interstate Energy Superhighway administered by the Federal Energy Regulatory Commission (FERC); (2) authorize recovery of costs associated with incremental transfer capabilities to facilitate renewable energy development; and (3) revise the coordination of federal authorizations for interstate electric transmission facilities. Amends the Internal Revenue Code to: (1) impose an excise tax on crude oil or natural gas removed from the Outer Continental Shelf and establish in the Treasury the Energy Security Trust Fund to hold and expend revenues from such tax; (2) allow a new tax credit for production of biogas and syngas from renewable feedstocks; (3) allow a new tax credit through 2011 for the purchase of certain fuel-efficient motor vehicles; (4) increase the national megawatt capacity limitation for the tax credit for energy production from advanced nuclear power facilities; and (5) allow accelerated depreciation of facilities placed in service before 2021 that use nuclear power to produce electricity. Amends the Clean Air Act to: (1) define ""renewable biomass""; and (2) require the Administrator of the Environmental Protection Agency (EPA) to provide grants to create a biofuels infrastructure. Amends the Energy Independence and Security Act of 2007 to: (1) allow loan guarantees for new renewable energy pipelines; (2) establish in the Treasury the Biofuels Revolving Loan Fund to make loans for biofuels production; and (3) allow grants for smart grid technologies and functions. Requires the Secretary of Energy to establish a program for research and development of lightweight materials to increase the fuel efficiency of motor vehicles. Amends the Energy Policy Act of 1992 to require the Secretary to promulgate regulations for the reduction of gasoline consumption by federal agency motor vehicle fleets. Requires the EPA Administrator to promote smart growth development programs to provide communities with a range of transportation, housing, and employment choices. Amends the Outer Continental Shelf Lands Act to: (1) require all oil and natural gas produced on the Outer Continental Shelf to be made available for refining and sale solely within the United States; and (2) establish a Special Commission on Offshore Oil and Gas Leasing. Amends the Energy Policy Act of 2005 to require the Secretary to: (1) identify the most prospective areas for recoverable oil and natural gas accumulations for industry exploitation; and (2) require monitoring of workforce trends in the nuclear utility and energy product and service industries. Requires the Secretary of the Interior to impose an annual production incentive fee on lessees of federal land whose oil or natural gas production does not meet certain levels. Expresses the sense of the Senate that the Chairman of the Nuclear Regulatory Commission (NRC) should continue to complete the design certificate phase for scalable, modular light-water nuclear reactors and electric plants. Authorizes appropriations to the NRC to hire additional personnel to expedite the processing of applications for new nuclear plants and to streamline the licensing process. Establishes an interagency working group to promote increased domestic manufacturing and export of nuclear energy products and services. Directs the Secretary of Energy to begin construction of a spent fuel recycling research and development facility and to conduct research and development activities to reduce nuclear waste. Amends the Commodity Exchange Act to: (1) define ""energy commodity""; (2) prohibit the Commodity Futures Trading Commission (CFTC) from permitting a foreign board of trade to provide its members (or other participants subject to CFTC jurisdiction) direct access to its electronic trading and order matching system, unless specified requirements are met; (3) require the CFTC to disaggregate and make public monthly the number of positions and total value of index funds and other passive, long-only positions in energy and agricultural markets; (4) require the CFTC to issue a notice of proposed rulemaking to define and classify index traders and swap dealers and specify data reporting requirements; (5) impose new recordkeeping and reporting requirements on commodity traders; (6) establish position limits for energy and agricultural commodities and advisory groups for trading in such commodities; (7) require the CFTC to appoint additional enforcement employees; (8) establish an Office of the Inspector General in the CFTC; (9) require the CFTC to conduct a study to deter and prevent price manipulation and excessive speculation for physical-based commodities; and (10) require periodic reporting of large over-the-counter transactions of agricultural or energy commodities. Requires the Comptroller General to study and report to Congress on: (1) the international regime for regulating the trading of energy commodity futures and derivatives; and (2) the effects of speculators on agriculture and energy futures markets and agriculture and energy prices. Establishes in the legislative branch the National Commission on Energy Policy and Global Climate Change to advise and assist Congress in developing a comprehensive energy policy.[/INST]
Topics:
","1. Energy
2. Energy
3. Fuel Efficiency","1. Energy Policy
2. Renewable Energy"
"<s>[INST] Based on the provided text, identify one to three general topics.
Topics should match the granularity of seed topics such as 'Health' and 'Education'. 
Each identified topic should consist of no more than three words. 
Please return only the topics. 
The desired output format:
Topic 1: xxx
Topic 2: xxx
Topic 3: xxx 
The Given text:
Title I: Science Scholarships - 10,000 Teachers, 10 Million Minds Science and Math Scholarship Act - (Sec. 103) Requires the National Science Foundation (NSF), in carrying out the Robert Noyce Teacher Scholarship program (formerly, the Robert Noyce Scholarship program), to increase the number of elementary and secondary mathematics and science teachers having both exemplary subject knowledge and pedagogical skills by up to 10,000 per year. (Sec. 104) Amends the National Science Foundation Authorization Act of 2002 (the Act) to revise requirements for the Robert Noyce Teacher Scholarship program, which provides scholarships, stipends, and teacher training to science, mathematics, and engineering students and professionals in exchange for service as elementary or secondary school teachers. Opens the program to all undergraduate students. (Currently, only juniors and seniors may participate.) Requires institutions of higher education (IHEs) that receive grants to: (1) provide participants with the academic courses and field teaching experiences necessary for teacher certification or licensing, including summer internships for freshmen students; and (2) include mathematics, science, and engineering faculty in developing and implementing the program. Authorizes IHEs to involve teacher leaders in the development of pedagogical content and the supervision of students in their field teaching experiences. Requires the Director to broadly disseminate information about the grant application process to ensure the participation of a diversity of IHEs. Increases the maximum duration of student scholarships from two to three years, professional stipends from one year to 16 months, and the minimum yearly scholarship amount from $7,500 to $10,000. Eliminates the requirement that scholarship recipients serve in high-need areas, but reduces their service obligation by one year for doing so. Requires the Director to establish for individuals with a service obligation an information clearinghouse on teaching opportunities in high-need LEAs. Authorizes the Director of the NSF to accept private donations for the program. Requires the Director to report to Congress within four years of this Act's enactment on the program's effectiveness. Authorizes appropriations for the program for FY2008-FY2012. Requires the Secretary to establish, under the program, a Special Partnership program that provides competitive grants to IHEs that partner with one or more private nonprofit organizations, local or state governments, and businesses to provide stipends, courses, and support to mathematics, science, and engineering professionals who enroll in an educational program enabling them to obtain teacher certification or licensing within 16 months. Requires selection of stipend recipients primarily on the basis of their content knowledge of science or mathematics as demonstrated on a required test. Requires stipend recipients to complete four years of service as mathematics or science teachers in public secondary schools. Requires partnership members to identify a nonfederal source of salary supplements for stipend recipients fulfilling their service obligation. Title II: Mathematics and Science Education Improvement - (Sec. 201) Revises requirements for the Mathematics and Science Education Partnership program (Partnership program), which provides grants to IHEs or nonprofit institutions for the improvement of elementary and secondary mathematics and science instruction. Requires that IHE grantees enter into partnerships though one or more of their science, engineering, or mathematics departments. Includes IHE faculty, in addition to local educational agencies (LEAs), states, and businesses, among the entities with which IHEs and nonprofit institutions may partner. Adds to the list of grant fund uses: (1) teacher training in the provision of challenging mathematics, science, and technology college preparatory courses, including advanced placement and international baccalaureate courses; (2) laboratory training and support for teachers; (3) model induction programs for teachers in their first two years of teaching; (4) technology, in addition to mathematics and science, in the student enrichment programs which are to include after-school programs and summer camps for female, minority, and disabled students; (5) master's degree programs for in-service teachers; and (6) the development and dissemination of curriculum tools that foster inventiveness and innovation. Requires grantees providing challenging college preparatory courses to encourage companies employing scientists, mathematicians, or engineers to provide mentors to teachers and students. Sets minimum and maximum grant amounts. Requires the Director to provide to Congress: (1) within one year of this Act's enactment, a determination as to which completed partnership projects should be seen as models to be replicated on a more expansive basis; and (2) within four years of this Act's enactment, a summary of partnership evaluations that describes recommended changes to the program. (Sec. 202) Requires the Director to establish a grant program for summer or academic year teacher institutes or workshops authorized under the Partnership program, including teacher training in the provision of challenging mathematics, science, and technology college preparatory courses. Gives grant priority to applicants proposing to attract teachers from certain high-need LEAs. Allows grantees under the Teacher Institutes for the 21st Century program to operate one- to two-week summer teacher institutes. Authorizes FY2008-FY2012 appropriations to: (1) the NSF for the teacher institute or workshop grants; and (2) to the Department of Energy (DOE) for the Laboratory Science Teacher Professional Development program. (Sec. 203) Requires the master's degree programs for in-service mathematics and science teachers under the Partnership program to be designed to allow teachers to enroll as part-time students and earn their degree within three years. Authorizes grantees to use funds for the development and acquisition of educational materials and equipment, and to provide stipends to students that cover their costs of attendance. Authorizes appropriations for FY2008-FY2012 for such programs. (Sec. 204) Prohibits anything in this Act from being construed as limiting the authority of states or local school boards to determine the curricula of their students. (Sec. 205) Revises the Science, Mathematics, Engineering, and Technology Talent Expansion program to require the Director to issue grants to IHEs for the creation of centers to develop and disseminate curriculum, teaching methods, and ways to better train professors and teacher assistants to increase the number and performance of undergraduate students in such courses. Requires the Director to strive to increase the representation of students from secondary schools that serve a high concentration of low-income families, when providing grants under the Talent Expansion program to increase the number of students studying and completing bachelor's degrees, concentrations, or certificates in science, mathematics, engineering, and technology. Authorizes appropriations for the Talent Expansion program for FY2008-FY2012, with specified amounts set aside for the centers. (Sec. 206) Redefines a ""high-need local educational agency,"" for purposes of the Act, as a LEA that is receiving grants under part A of title I of the Elementary and Secondary Education Act of 1965 as a result of serving a high concentration of children from low-income families and experiencing a shortage of highly qualified science, mathematics, or engineering teachers. (Sec. 207) Replaces the term ""master teacher"" with the term ""teacher leader"" each time it appears in the Act. (Sec. 208) Requires the Director to establish a Partnerships for Access to Laboratory Science research pilot program awarding grants to partnerships between IHEs, high-need LEAs, and businesses or nonprofit organizations to improve laboratories and provide instrumentation as part of a comprehensive effort to improve the quality of mathematics, science, engineering, and technology instruction in secondary schools. Requires such partnerships to include significant teacher training, unless such training is addressed through other means. Limits the federal share of partnership costs to 50%. Requires the Director to report to Congress within five years regarding the program's effect on student performance. Authorizes appropriations for the program for FY2008-FY2011. (Sec. 209) Requires the Director to report to Congress within two years on the extent to which IHEs are donating used laboratory equipment to elementary and secondary schools.[/INST]
Topics:
","1. Education
2. Mathematics education
3. Teacher training and professional development",1. Science education
